Boundary Type, .005, .010, .015, .020, .025, .030, .035, .040, .045, .050, >.050, Average Delta, Number of Boundaries, Number of Positive Deltas, Number of Negative Deltas, STD of Delta
stopsVoiced-nasals, 0.0, 0.0, 25.0, 25.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 0.0315547272169, 4, 4, 0, 0.000264546003813
fric-approx, 27.08, 37.5, 45.83, 56.25, 72.92, 75.0, 85.42, 85.42, 91.67, 91.67, 100.0, 0.00820490900216, 48, 28, 20, 0.000570931433671
stopsVoiceless-nasals, 18.18, 36.36, 63.64, 63.64, 63.64, 72.73, 72.73, 72.73, 81.82, 90.91, 100.0, 0.0141756516866, 11, 10, 1, 0.000732642125287
fric-fricVoiced, 15.79, 31.58, 52.63, 73.68, 73.68, 78.95, 89.47, 94.74, 100.0, 100.0, 100.0, -0.00176891715859, 19, 9, 9, 0.000399981477269
nasals-pause, 20.31, 43.75, 51.56, 59.38, 71.88, 79.69, 82.81, 87.5, 87.5, 90.63, 100.0, -0.0100592656897, 64, 19, 40, 0.00060929366348
fricVoiceless-stops, 27.14, 38.57, 51.43, 71.43, 81.43, 87.14, 91.43, 92.86, 95.71, 97.14, 100.0, 0.000491428822783, 70, 29, 40, 0.00041628320099
approx-nasals, 20.3, 30.83, 39.85, 51.13, 58.65, 63.91, 70.68, 74.44, 77.44, 81.95, 100.0, -0.0145061835098, 133, 20, 102, 0.00248765912332
trill-nasals, 0.0, 0.0, 0.0, 20.0, 20.0, 60.0, 80.0, 80.0, 80.0, 80.0, 100.0, 0.0315133123586, 5, 5, 0, 0.00015211868188
stopsVoiceless-fric, 33.33, 56.41, 64.1, 79.49, 79.49, 84.62, 87.18, 92.31, 97.44, 100.0, 100.0, -0.00708834808649, 39, 13, 25, 0.000315896121494
phones-vowels, 30.77, 52.95, 66.59, 76.38, 82.3, 86.65, 89.61, 91.89, 93.54, 94.78, 100.0, -8.46403681584e-05, 5571, 2237, 2990, 0.00106813792374
pause-nasals, 0.0, 0.0, 0.0, 5.56, 16.67, 50.0, 61.11, 72.22, 77.78, 77.78, 100.0, 0.0410420814392, 18, 18, 0, 0.000611114488494
stops-vowels, 35.05, 57.85, 72.57, 81.01, 87.13, 90.63, 93.05, 94.03, 95.06, 95.68, 100.0, -0.000173069477927, 1943, 640, 1178, 0.00119391151185
fricVoiceless-phones, 39.55, 65.68, 78.83, 86.85, 91.38, 93.03, 94.95, 96.08, 96.95, 97.91, 100.0, 0.00112154564023, 1148, 475, 550, 0.000316033348702
consonants-stopsVoiceless, 16.47, 31.21, 40.17, 50.58, 59.54, 66.76, 74.86, 80.06, 84.1, 86.71, 100.0, -0.0235832757542, 346, 41, 291, 0.000863938024408
phones-consonants, 18.25, 31.92, 42.96, 53.88, 62.58, 69.94, 76.18, 81.17, 84.8, 87.35, 100.0, -0.0121911411917, 6783, 1670, 4888, 0.00163581711477
vowels-phones, 17.79, 31.54, 42.91, 53.91, 63.01, 70.52, 76.54, 81.71, 85.22, 87.73, 100.0, -0.0126341086903, 5418, 1262, 3990, 0.00167354106017
consonants-fric, 17.32, 30.17, 41.62, 54.47, 62.01, 71.51, 80.17, 86.87, 93.02, 94.97, 100.0, -0.0157232625282, 358, 68, 278, 0.000478808011433
stopsVoiced-pause, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, -0.141436836889, 1, 0, 1, 0.0
stops-stopsVoiceless, 11.11, 25.93, 37.04, 44.44, 51.85, 55.56, 59.26, 77.78, 85.19, 88.89, 100.0, -0.0255813417058, 27, 3, 22, 0.00150789093901
pause-pause, 19.29, 45.18, 65.23, 74.87, 80.2, 85.03, 87.82, 91.12, 92.39, 93.15, 100.0, -0.0348633025349, 394, 188, 204, 0.275007633282
trill-approx, 0.0, 33.33, 50.0, 50.0, 66.67, 83.33, 83.33, 100.0, 100.0, 100.0, 100.0, 0.00673484031207, 6, 3, 3, 0.000469133829378
fric-stops, 25.93, 35.19, 48.15, 63.89, 72.22, 80.56, 87.04, 87.96, 92.59, 94.44, 100.0, -0.0068821173215, 108, 35, 71, 0.000495958889826
pause-phones, 18.37, 33.88, 47.76, 62.86, 72.24, 79.59, 85.31, 90.61, 92.65, 93.47, 100.0, 0.0155421642924, 245, 191, 53, 0.000513613502141
stopsVoiced-fricVoiceless, 28.57, 28.57, 57.14, 57.14, 57.14, 71.43, 85.71, 85.71, 100.0, 100.0, 100.0, -0.0154275891917, 7, 1, 6, 0.000330769816593
vowels-fricVoiced, 14.32, 27.29, 38.03, 48.1, 56.82, 63.98, 69.57, 76.06, 80.54, 83.89, 100.0, -0.0231142621962, 447, 89, 351, 0.000837473603489
pause-stopsVoiced, 6.67, 13.33, 26.67, 40.0, 40.0, 40.0, 53.33, 73.33, 73.33, 73.33, 100.0, 0.0368557792555, 15, 14, 1, 0.00111921549048
approx-trill, 55.56, 66.67, 77.78, 88.89, 88.89, 88.89, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00880061893375, 9, 2, 7, 0.000121353597615
nasals-approx, 10.84, 20.48, 27.71, 31.33, 33.73, 34.94, 37.35, 42.17, 42.17, 44.58, 100.0, 0.0109987176954, 83, 44, 38, 0.00471194126131
consonants-stops, 20.55, 35.17, 44.07, 54.87, 63.35, 70.13, 77.54, 81.78, 85.59, 88.77, 100.0, -0.0158977261491, 472, 116, 333, 0.000986265156842
fricVoiced-stopsVoiced, 47.37, 57.89, 78.95, 89.47, 89.47, 89.47, 94.74, 94.74, 100.0, 100.0, 100.0, -0.0066313083449, 19, 6, 12, 0.000186565706381
stopsVoiceless-stops, 12.5, 29.17, 41.67, 50.0, 58.33, 62.5, 70.83, 79.17, 87.5, 91.67, 100.0, -0.0146999784386, 24, 4, 18, 0.00063072806608
approx-fricVoiceless, 9.86, 21.13, 32.39, 45.07, 53.52, 63.38, 73.24, 83.1, 88.73, 91.55, 100.0, -0.0250276399614, 71, 4, 66, 0.000346448617874
stops-consonants, 21.38, 40.88, 54.09, 64.78, 68.55, 74.84, 79.87, 85.53, 89.94, 93.71, 100.0, -0.00288024342195, 159, 73, 80, 0.00113598227222
phones-fricVoiced, 15.2, 29.05, 40.37, 51.86, 59.8, 67.23, 73.48, 79.73, 84.12, 86.82, 100.0, -0.0201229406961, 592, 132, 447, 0.000777259417764
phones-approx, 23.67, 38.16, 48.42, 56.81, 64.13, 70.09, 74.18, 77.83, 80.42, 82.78, 100.0, -0.00967114906775, 1394, 384, 932, 0.00224517194057
fricVoiced-approx, 30.77, 38.46, 53.85, 61.54, 76.92, 76.92, 92.31, 92.31, 92.31, 92.31, 100.0, -0.0117938059464, 13, 4, 9, 0.000317418049762
consonants-consonants, 20.06, 33.38, 43.12, 53.81, 60.91, 67.64, 74.74, 79.06, 83.16, 85.87, 100.0, -0.0104127828472, 1366, 409, 898, 0.00148167921183
stopsVoiced-consonants, 17.65, 31.37, 47.06, 60.78, 66.67, 70.59, 72.55, 82.35, 84.31, 90.2, 100.0, -0.00913273645535, 51, 24, 26, 0.00156250542962
consonants-trill, 41.9, 60.0, 72.38, 86.67, 89.52, 92.38, 97.14, 97.14, 98.1, 99.05, 100.0, 0.000351983435471, 105, 45, 51, 0.000225645670791
fricVoiceless-consonants, 30.0, 42.0, 55.5, 68.5, 77.0, 81.5, 86.5, 89.0, 92.5, 94.0, 100.0, 0.0060169012798, 200, 105, 86, 0.000533227832332
fric-fric, 25.49, 33.33, 49.02, 58.82, 62.75, 68.63, 76.47, 82.35, 92.16, 96.08, 100.0, -0.0079534654387, 51, 16, 30, 0.000675607429152
phones-nasals, 13.83, 24.43, 33.16, 41.98, 48.43, 54.03, 59.88, 66.67, 72.35, 76.59, 100.0, -0.00795764887375, 1179, 325, 813, 0.00391712897457
stopsVoiced-trill, 40.0, 60.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.000509908710489, 10, 5, 4, 9.70906682498e-05
fric-trill, 47.46, 66.1, 77.97, 91.53, 94.92, 96.61, 98.31, 98.31, 98.31, 100.0, 100.0, 0.000242258280576, 59, 25, 29, 0.000162405997183
trill-pause, 0.0, 0.0, 0.0, 0.0, 25.0, 50.0, 50.0, 50.0, 50.0, 75.0, 100.0, -0.0376758793404, 4, 0, 4, 0.000206565712027
trill-vowels, 15.6, 37.88, 54.87, 71.87, 78.83, 84.12, 88.58, 91.09, 93.87, 96.1, 100.0, -0.00714968252742, 359, 128, 229, 0.000537986156023
fricVoiceless-fricVoiced, 15.38, 38.46, 61.54, 76.92, 76.92, 84.62, 92.31, 100.0, 100.0, 100.0, 100.0, 0.00674631973135, 13, 9, 3, 0.000278548702058
fric-consonants, 28.99, 40.07, 52.77, 65.8, 73.29, 78.5, 84.69, 86.64, 91.86, 93.49, 100.0, -0.000229749582741, 307, 131, 164, 0.000620663048087
approx-fric, 12.23, 22.3, 33.81, 48.92, 58.27, 67.63, 79.14, 85.61, 90.65, 92.81, 100.0, -0.0217003335844, 139, 17, 120, 0.00039722662642
consonants-pause, 16.09, 37.93, 43.68, 51.72, 65.52, 74.71, 80.46, 83.91, 83.91, 87.36, 100.0, -0.0135916262833, 87, 23, 59, 0.000921323479773
fricVoiced-consonants, 27.1, 36.45, 47.66, 60.75, 66.36, 72.9, 81.31, 82.24, 90.65, 92.52, 100.0, -0.0119057325034, 107, 26, 78, 0.000574828991964
fricVoiced-stops, 23.68, 28.95, 42.11, 50.0, 55.26, 68.42, 78.95, 78.95, 86.84, 89.47, 100.0, -0.020464965482, 38, 6, 31, 0.000358082373743
nasals-stopsVoiceless, 20.27, 41.89, 44.59, 56.76, 63.51, 72.97, 74.32, 78.38, 82.43, 85.14, 100.0, -0.02539319519, 74, 6, 61, 0.00111415189698
trill-stopsVoiceless, 0.0, 0.0, 8.33, 12.5, 37.5, 41.67, 66.67, 75.0, 79.17, 83.33, 100.0, -0.0348810129081, 24, 0, 24, 0.000291915550571
fricVoiced-phones, 22.37, 40.13, 52.47, 65.63, 72.37, 77.96, 83.22, 86.18, 89.14, 91.94, 100.0, 0.00407159054207, 608, 323, 270, 0.000931341112062
stopsVoiceless-vowels, 36.17, 59.55, 74.51, 81.53, 86.73, 89.68, 91.78, 92.98, 94.03, 94.66, 100.0, 0.00382819372438, 1424, 534, 793, 0.00140094082842
trill-trill, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0
approx-vowels, 27.06, 45.39, 59.07, 70.71, 77.5, 83.61, 87.2, 90.98, 93.7, 94.86, 100.0, -0.00189742140651, 1031, 466, 524, 0.000807575711842
stopsVoiced-phones, 30.7, 51.23, 65.44, 77.89, 86.32, 91.23, 94.39, 95.61, 96.67, 97.72, 100.0, -0.0109708621375, 570, 130, 411, 0.000560273935684
nasals-nasals, 6.38, 8.51, 10.64, 12.77, 14.89, 21.28, 29.79, 31.91, 38.3, 42.55, 100.0, -0.0277511275079, 47, 13, 33, 0.00591506836566
phones-fricVoiceless, 10.02, 18.38, 28.14, 40.68, 55.4, 69.51, 81.88, 88.76, 93.64, 96.17, 100.0, -0.0220635791778, 1148, 71, 1059, 0.000388819254872
fricVoiceless-approx, 25.71, 37.14, 42.86, 54.29, 71.43, 74.29, 82.86, 82.86, 91.43, 91.43, 100.0, 0.0156330031259, 35, 24, 11, 0.00046136462839
phones-fric, 11.78, 22.01, 32.3, 44.48, 56.9, 68.74, 79.02, 85.69, 90.4, 92.99, 100.0, -0.0214033159703, 1740, 203, 1506, 0.00052182359153
vowels-stopsVoiceless, 17.68, 34.3, 50.66, 63.85, 72.12, 77.75, 81.88, 86.1, 88.74, 90.59, 100.0, -0.0175988728857, 1137, 165, 963, 0.000688307087194
stopsVoiceless-stopsVoiced, 0.0, 14.29, 28.57, 28.57, 42.86, 42.86, 57.14, 71.43, 71.43, 85.71, 100.0, -0.000380231700191, 7, 4, 3, 0.00117831788934
approx-approx, 17.39, 26.09, 30.43, 39.13, 43.48, 43.48, 52.17, 60.87, 65.22, 69.57, 100.0, -0.0254429271152, 23, 7, 15, 0.00170418152022
phones-stopsVoiceless, 17.4, 33.58, 48.21, 60.76, 69.18, 75.19, 80.24, 84.69, 87.66, 89.68, 100.0, -0.0189950990438, 1483, 206, 1254, 0.000735689823902
vowels-fric, 10.35, 19.9, 29.88, 41.9, 55.57, 68.02, 78.73, 85.38, 89.73, 92.47, 100.0, -0.0228747046333, 1382, 135, 1228, 0.000522444005724
consonants-vowels, 30.77, 52.96, 66.61, 76.37, 82.3, 86.64, 89.61, 91.89, 93.54, 94.78, 100.0, -8.77163269836e-05, 5570, 2236, 2990, 0.00106827697983
stopsVoiceless-fricVoiceless, 32.26, 51.61, 58.06, 77.42, 77.42, 83.87, 87.1, 90.32, 96.77, 100.0, 100.0, -0.009899330921, 31, 9, 22, 0.000303201831843
stops-pause, 0.0, 20.0, 20.0, 40.0, 60.0, 60.0, 80.0, 80.0, 80.0, 80.0, 100.0, -0.0406480184601, 5, 1, 4, 0.00271004558055
pause-fricVoiceless, 16.67, 23.33, 40.0, 70.0, 76.67, 83.33, 86.67, 93.33, 96.67, 96.67, 100.0, 0.0151312553564, 30, 24, 6, 0.000324374157538
nasals-fricVoiced, 25.0, 47.5, 57.5, 67.5, 70.0, 82.5, 85.0, 92.5, 95.0, 95.0, 100.0, -0.00528231066509, 40, 15, 22, 0.00050518610083
stops-fricVoiced, 23.08, 53.85, 76.92, 92.31, 92.31, 92.31, 92.31, 100.0, 100.0, 100.0, 100.0, 0.000877743290789, 13, 6, 6, 0.000207856965441
fricVoiced-fric, 23.53, 29.41, 41.18, 52.94, 52.94, 58.82, 76.47, 76.47, 94.12, 100.0, 100.0, -0.0212422840416, 17, 2, 14, 0.000264176380778
fric-pause, 0.0, 33.33, 33.33, 44.44, 55.56, 66.67, 66.67, 66.67, 66.67, 66.67, 100.0, -0.0117240035828, 9, 2, 7, 0.00197256403068
pause-consonants, 18.37, 33.88, 47.76, 62.86, 72.24, 79.59, 85.31, 90.61, 92.65, 93.47, 100.0, 0.0155421642924, 245, 191, 53, 0.000513613502141
pause-trill, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00109403346938, 1, 0, 1, 0.0
nasals-fric, 16.19, 31.43, 40.95, 51.43, 61.9, 73.33, 79.05, 87.62, 93.33, 94.29, 100.0, -0.0142885423979, 105, 19, 82, 0.000495318000513
vowels-consonants, 17.8, 31.55, 42.92, 53.9, 63.01, 70.52, 76.54, 81.71, 85.21, 87.72, 100.0, -0.0126395882101, 5417, 1261, 3990, 0.00167368732639
vowels-stops, 17.76, 35.02, 50.03, 63.39, 72.01, 78.21, 82.43, 86.58, 89.01, 90.61, 100.0, -0.00894839138013, 1565, 483, 1073, 0.000912681705048
stopsVoiced-fricVoiced, 0.0, 20.0, 60.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00380460407952, 5, 2, 3, 0.000159489207852
approx-stopsVoiced, 30.77, 53.85, 57.69, 61.54, 69.23, 69.23, 80.77, 80.77, 80.77, 96.15, 100.0, -0.0043686361338, 26, 13, 10, 0.000710471334122
fric-phones, 33.6, 56.83, 69.7, 79.5, 84.79, 87.81, 90.89, 92.65, 94.25, 95.84, 100.0, 0.00214297348779, 1756, 798, 820, 0.000531048348886
nasals-consonants, 16.52, 30.48, 36.75, 45.87, 51.57, 59.54, 63.53, 68.38, 71.79, 73.79, 100.0, -0.00948152395776, 351, 108, 225, 0.00262774076435
phones-pause, 19.64, 37.5, 50.45, 57.14, 70.54, 79.02, 82.59, 86.61, 87.5, 90.18, 100.0, -0.0103181333877, 224, 61, 152, 0.000775431161604
stopsVoiced-stops, 0.0, 7.14, 14.29, 28.57, 35.71, 35.71, 35.71, 71.43, 71.43, 78.57, 100.0, -0.0261112443945, 14, 5, 9, 0.00297410837957
approx-stops, 16.85, 33.71, 42.7, 50.0, 58.43, 64.61, 74.72, 78.65, 82.02, 86.52, 100.0, -0.0224860586495, 178, 30, 141, 0.00088369332872
vowels-stopsVoiced, 17.99, 36.92, 48.36, 62.15, 71.73, 79.44, 83.88, 87.85, 89.72, 90.65, 100.0, 0.0140319765447, 428, 318, 110, 0.000781853756007
trill-stops, 22.73, 29.55, 38.64, 45.45, 61.36, 63.64, 77.27, 81.82, 86.36, 88.64, 100.0, -0.0147625891249, 44, 13, 29, 0.000809356344756
stops-phones, 34.02, 56.57, 71.17, 79.78, 85.73, 89.44, 92.06, 93.39, 94.67, 95.53, 100.0, -0.00037784619396, 2102, 713, 1258, 0.00119004204677
stopsVoiced-stopsVoiced, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 75.0, 75.0, 75.0, 100.0, -0.00624976402252, 4, 2, 2, 0.00117970696831
nasals-fricVoiceless, 10.77, 21.54, 30.77, 41.54, 56.92, 67.69, 75.38, 84.62, 92.31, 93.85, 100.0, -0.0198308388489, 65, 4, 60, 0.000408613067275
pause-fric, 13.95, 23.26, 37.21, 62.79, 72.09, 81.4, 88.37, 93.02, 95.35, 95.35, 100.0, 0.0172842110821, 43, 37, 6, 0.000297337972358
consonants-approx, 16.84, 31.05, 38.42, 44.74, 51.58, 55.79, 61.05, 64.74, 66.84, 68.42, 100.0, 0.00523952338085, 190, 101, 86, 0.00289668714447
trill-fric, 0.0, 16.67, 16.67, 25.0, 33.33, 58.33, 83.33, 91.67, 100.0, 100.0, 100.0, -0.0252663506341, 12, 0, 12, 0.000110763086169
stopsVoiceless-pause, 0.0, 25.0, 25.0, 50.0, 75.0, 75.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0154508138528, 4, 1, 3, 0.000213061375576
stops-stops, 7.89, 21.05, 31.58, 42.11, 50.0, 52.63, 57.89, 76.32, 81.58, 86.84, 100.0, -0.0189041290539, 38, 9, 27, 0.00152437850629
trill-consonants, 14.93, 25.37, 32.84, 40.3, 53.73, 64.18, 79.1, 85.07, 89.55, 91.04, 100.0, -0.0112652914245, 67, 21, 44, 0.000813445219003
trill-phones, 15.49, 35.92, 51.41, 66.9, 74.88, 80.99, 87.09, 90.14, 93.19, 95.31, 100.0, -0.00779697312861, 426, 149, 273, 0.000583554539613
vowels-fricVoiceless, 8.45, 16.36, 25.99, 38.93, 54.97, 69.95, 83.1, 89.84, 94.12, 96.58, 100.0, -0.0227601781834, 935, 46, 877, 0.000371795720904
approx-fricVoiced, 14.71, 23.53, 35.29, 52.94, 63.24, 72.06, 85.29, 88.24, 92.65, 94.12, 100.0, -0.0182262342789, 68, 13, 54, 0.000426616082467
fric-nasals, 17.07, 26.83, 41.46, 53.66, 58.54, 63.41, 68.29, 73.17, 80.49, 80.49, 100.0, 0.0163471564765, 41, 27, 14, 0.00104929024273
stopsVoiced-stopsVoiceless, 0.0, 10.0, 20.0, 20.0, 30.0, 30.0, 30.0, 70.0, 70.0, 80.0, 100.0, -0.0340558365433, 10, 3, 7, 0.00347096103864
trill-stopsVoiced, 50.0, 65.0, 75.0, 85.0, 90.0, 90.0, 90.0, 90.0, 95.0, 95.0, 100.0, 0.00937951941483, 20, 13, 5, 0.00036174272241
stopsVoiceless-phones, 35.25, 58.55, 73.3, 80.48, 85.51, 88.77, 91.19, 92.56, 93.93, 94.71, 100.0, 0.00356341952914, 1532, 583, 847, 0.00136707178123
stopsVoiced-fric, 16.67, 25.0, 58.33, 75.0, 75.0, 83.33, 91.67, 91.67, 100.0, 100.0, 100.0, -0.0105846787283, 12, 3, 9, 0.000292238190744
fricVoiceless-pause, 0.0, 42.86, 42.86, 57.14, 71.43, 85.71, 85.71, 85.71, 85.71, 85.71, 100.0, 0.00311773626274, 7, 2, 5, 0.0015449012533
stopsVoiced-approx, 27.27, 54.55, 54.55, 63.64, 72.73, 81.82, 81.82, 81.82, 81.82, 81.82, 100.0, -0.00950127172113, 11, 7, 4, 0.0019000052608
vowels-vowels, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.0170484502879, 1, 1, 0, 0.0
fricVoiced-vowels, 21.36, 40.92, 53.49, 66.67, 73.65, 79.04, 83.63, 87.03, 88.82, 91.82, 100.0, 0.00748391302883, 501, 297, 192, 0.000941318699682
vowels-trill, 36.89, 56.4, 66.77, 76.83, 82.32, 85.98, 89.63, 91.77, 92.99, 94.21, 100.0, -0.0034027137225, 328, 114, 180, 0.000852779582913
nasals-vowels, 25.0, 44.04, 54.82, 63.32, 69.16, 76.14, 79.95, 84.39, 87.18, 88.96, 100.0, 0.00068156977831, 788, 335, 403, 0.00232527319853
phones-phones, 23.9, 41.4, 53.62, 64.03, 71.47, 77.47, 82.23, 86.0, 88.74, 90.7, 100.0, -0.0067317502181, 12354, 3907, 7878, 0.00141611302311
trill-fricVoiceless, 0.0, 0.0, 0.0, 0.0, 14.29, 57.14, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0279093768544, 7, 0, 7, 2.03615839588e-05
fricVoiced-fricVoiceless, 27.27, 36.36, 45.45, 45.45, 45.45, 54.55, 72.73, 72.73, 90.91, 100.0, 100.0, -0.0218006587442, 11, 2, 8, 0.000317066438554
nasals-stops, 25.0, 45.19, 49.04, 62.5, 68.27, 77.88, 79.81, 82.69, 85.58, 87.5, 100.0, -0.0133656616008, 104, 29, 65, 0.0013802550131
